Archivo,Método,η1,η2,N1,N2,η,N,V,D,E,T,B,CC,refactor
Programa082.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa068.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa068.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa076.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa076.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa080.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa080.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa041.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa041.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa004.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa004.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa097.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa097.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa100.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa100.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa058.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa058.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa098.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa098.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa079.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa079.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa031.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa031.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa037.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa037.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa005.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa005.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa040.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa040.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa064.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa064.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa048.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa048.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa067.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa067.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa006.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa006.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa042.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa042.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa012.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa012.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa090.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa090.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa071.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa071.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa028.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa028.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa013.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa013.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa014.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa014.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa035.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa035.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa044.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa044.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa060.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa060.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
Programa053.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa053.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa066.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa066.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa015.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa015.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa065.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa065.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa099.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa099.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa047.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa047.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa025.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa025.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa018.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa018.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa011.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa011.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa086.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa086.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa063.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa063.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa087.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa087.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa095.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa095.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa062.java,main,3,6,5,8,9,13,41.209025018750054,2.0,82.41805003750011,4.578780557638895,0.006312871783006906,1,0
Programa062.java,multiplicar,4,5,8,11,9,19,60.228575027403934,4.4,265.0057301205773,14.722540562254295,0.013752519044434712,2,0
Programa051.java,main,3,5,4,6,8,10,30.0,1.7999999999999998,53.99999999999999,2.9999999999999996,0.004762203155904597,1,0
Programa051.java,esPrimo,5,5,12,12,10,24,79.7262742772967,6.0,478.3576456637802,26.5754247590989,0.020388278552093332,4,0
Programa085.java,main,3,5,4,7,8,11,33.0,2.0999999999999996,69.29999999999998,3.849999999999999,0.00562385655770182,1,0
Programa085.java,contarVocales,7,10,16,20,17,36,147.14866228501222,7.0,1030.0406359950855,57.22447977750475,0.03399760451106484,3,0
Programa092.java,main,3,5,6,7,8,13,39.0,2.0999999999999996,81.89999999999999,4.55,0.006286390373952222,1,0
Programa092.java,sumarPares,4,4,9,10,8,19,57.0,5.0,285.0,15.833333333333334,0.014435837519843134,2,0
